Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 05.221.01.342.01 2021,5205.0,ELEKTR.KANPO IGERILEKUAK,23300.0,23300.0,0.0,0.0,23300.0,0.0,0.0,0.0,0.0,2021,34201,,2,,05
1 05.221.01.342.09 2021,5661.0,ELEKTR.BESTE KIROL ERAIKUNTZAK,1400.0,1400.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,2021,34209,,2,,05
1 05.221.01.920.02 2021,4633.0,ELEKTR:UDAL ERAIKINAK,67700.0,67700.0,0.0,252.88,67447.12,252.88,252.88,252.88,252.88,2021,92002,,2,,05
1 05.221.01.929.10 2021,5206.0,ELEKTR.BAKE EPAITEGIA,4300.0,4300.0,0.0,0.0,4300.0,0.0,0.0,0.0,0.0,2021,92910,,2,,05
1 05.221.02.160.00 2021,4634.0,SANEAMENTUA-ARAZKETA. AÑARBE,623000.0,623000.0,0.0,0.0,623000.0,0.0,0.0,0.0,0.0,2021,16000,,2,,05
1 05.221.02.161.00 2021,4635.0,UR HORNIDURA-AÑARBE,480000.0,480000.0,0.0,0.0,480000.0,0.0,0.0,0.0,0.0,2021,16100,,2,,05
1 05.221.03.241.00 2021,5636.0,GASA.GABRIEL ZELAIA,5400.0,5400.0,0.0,0.0,5400.0,0.0,0.0,0.0,0.0,2021,24100,,2,,05
1 05.221.03.323.10 2021,5208.0,GASA.IKASTETXEAK,45400.0,45400.0,0.0,5543.06,39856.94,5543.06,5543.06,5543.06,0.0,2021,32310,,2,,05
1 05.221.03.323.30 2021,5209.0,GASA.HAUR ESKOLA,5000.0,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,2021,32330,,2,,05
1 05.221.03.324.10 2021,5210.0,GASA.HLP IKASTAROAK,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,2021,32410,,2,,05
1 05.221.03.326.01 2021,5211.0,GASA.MUSIKA ESK,1300.0,1300.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,2021,32601,,2,,05
1 05.221.03.326.03 2021,5212.0,GASA.HHI-EPA,4100.0,4100.0,0.0,534.44,3565.56,534.44,534.44,534.44,0.0,2021,32603,,2,,05
1 05.221.03.333.00 2021,5213.0,GASA.KULTUR ETXEA,9600.0,9600.0,0.0,1815.02,7784.98,1815.02,1815.02,1815.02,0.0,2021,33300,,2,,05
1 05.221.03.335.10 2021,5214.0,GASA.EUSKALTEGIA,1700.0,1700.0,0.0,0.0,1700.0,0.0,0.0,0.0,0.0,2021,33510,,2,,05
1 05.221.03.342.00 2021,5215.0,GASA.KIROLDEGIA,3000.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,2021,34200,,2,,05
1 05.221.03.342.09 2021,5660.0,GASA. BESTE KIROL ERAIKUNTZAK,1300.0,1300.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,2021,34209,,2,,05
1 05.221.03.920.02 2021,4636.0,GASA: UDAL ERAIKINAK,36600.0,36600.0,0.0,1837.23,34762.77,1837.23,1837.23,1837.23,0.0,2021,92002,,2,,05
1 05.221.04.153.40 2021,4637.0,ERREGAIA:OBRETAKO LANTALDEA,9000.0,9000.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,2021,15340,,2,,05
1 05.221.04.161.00 2021,4638.0,ERREGAIA:URAK,2000.0,2000.0,0.0,111.53,1888.47,111.53,111.53,111.53,0.0,2021,16100,,2,,05
1 05.221.04.165.00 2021,4639.0,ERREGAIA:KALEKO ARGIKUNTZA,2000.0,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,2021,16500,,2,,05
1 05.221.04.323.10 2021,4640.0,ERREGAIA:IKASTETXEAK,900.0,900.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,2021,32310,,2,,05
1 05.221.04.342.00 2021,5218.0,BIOMASA HORNIDURA,24000.0,24000.0,0.0,10000.0,14000.0,10000.0,2562.78,2562.78,0.0,2021,34200,,2,,05
1 05.221.09.323.10 2021,5220.0,GARBIKETA.PRODUKT.IKASTETXEAK,5500.0,5500.0,0.0,645.92,4854.08,645.92,645.92,645.92,0.0,2021,32310,,2,,05
1 05.221.09.323.30 2021,5221.0,GARBIKETA.PRODUKT.HAUR ESKOLA,500.0,500.0,0.0,115.19,384.81,115.19,115.19,115.19,0.0,2021,32330,,2,,05
1 05.221.09.324.10 2021,5222.0,GARBIKETA.PRODUKT.HLP IKASTAROAK,500.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,2021,32410,,2,,05
1 05.221.09.326.01 2021,5223.0,GARB PRODUKTUAK.MUSIKA ESK,500.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,2021,32601,,2,,05
1 05.221.09.326.03 2021,5224.0,GARBIKETA.PRODUKT.HHI-EPA,250.0,250.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,2021,32603,,2,,05
1 05.221.09.333.00 2021,5225.0,GARBIKETA.PRODUKT.KULTUR ETXEA,1250.0,1250.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,2021,33300,,2,,05
1 05.221.09.335.10 2021,5226.0,GARBIKETA PRODUKTUAK.EUSKALTEGIA,500.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,2021,33510,,2,,05
1 05.221.09.342.00 2021,5227.0,GARB PRODUKTUAK.KIROLDEGIA,3000.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,2021,34200,,2,,05
1 05.221.09.342.01 2021,5228.0,GARB PRODUKTUAK.KANPO IGERILEKUAK,500.0,500.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,2021,34201,,2,,05
1 05.221.09.920.02 2021,4643.0,GARBIK.PROD.:UDAL ERAIKINAK,3500.0,3500.0,0.0,556.91,2943.09,556.91,556.91,556.91,0.0,2021,92002,,2,,05
1 05.221.11.153.40 2021,4645.0,ERREMINTAK:OBRETAKO LANTALDEA,2000.0,2000.0,0.0,158.09,1841.91,158.09,158.09,158.09,0.0,2021,15340,,2,,05
1 05.221.11.161.00 2021,4646.0,TRESNAK.ERREMINTAK-UR ZERBITZUA,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,2021,16100,,2,,05
1 05.221.11.165.00 2021,4648.0,TRESNAK:KALEKO ARGIKUNTZA,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,2021,16500,,2,,05
