#Partida,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 05.212.01.323.10 2016,4614.0,MANT.MAKIN:IKASTETXEAK,40000.0,40000.0,0.0,21001.86,18998.14,21001.86,21001.86,21001.86,21001.86,2016,32310,,2,,05
1 05.212.01.323.30 2016,4615.0,MANT.MAKIN:HAUR-ESKOLA,7000.0,7000.0,0.0,4133.31,2866.69,4133.31,4133.31,4133.31,4133.31,2016,32330,,2,,05
1 05.212.01.326.01 2016,4616.0,MANT.MAKIN:MUSIKA ESKOLA,4000.0,4000.0,0.0,1385.58,2614.42,1385.58,1385.58,1385.58,1385.58,2016,32601,,2,,05
1 05.212.01.326.03 2016,4617.0,MANT.MAKIN:H.I.I.,3000.0,3000.0,0.0,1233.06,1766.94,1233.06,1233.06,1233.06,1233.06,2016,32603,,2,,05
1 05.212.01.333.00 2016,4618.0,MANT.MAKIN:KULTUR ETXEA,8000.0,8000.0,0.0,5693.33,2306.67,5693.33,5693.33,5693.33,5693.33,2016,33300,,2,,05
1 05.212.01.414.00 2016,4619.0,MANT.MAKIN:INGURUN.HOBEKUNTZA,5000.0,5000.0,0.0,838.95,4161.05,838.95,838.95,838.95,838.95,2016,41400,,2,,05
1 05.212.01.920.01 2016,4620.0,MANT.MAKIN:UDALETXEA,12000.0,12000.0,0.0,7452.5,4547.5,7452.5,7452.5,7452.5,7452.5,2016,92001,,2,,05
1 05.212.01.920.02 2016,4621.0,MANT.MAKIN:UDAL ERAIKINAK,22000.0,22000.0,0.0,17791.9,4208.1,17791.9,17791.9,17791.9,17791.9,2016,92002,,2,,05
1 05.212.01.929.10 2016,4622.0,MANT.MAKIN:EPAITEGIA,1500.0,1500.0,0.0,592.84,907.16,592.84,592.84,592.84,592.84,2016,92910,,2,,05
1 05.213.01.153.40 2016,4623.0,MANT.IBILG:OBRETAKO LANTALDEA,9500.0,9500.0,0.0,9411.58,88.42,9411.58,9411.58,9411.58,9411.58,2016,15340,,2,,05
