Partida,Barruko ,Deskribapena,B. betiko aurrek.,Has.ko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.120.01.920.10 2020,4274.0,FUNTZIONARIOA.SOLDATA.OINARRIA.PERTSONAL,52569.0,52569.0,0.0,52726.18,-157.18,52726.18,52726.18,52726.18,52726.18,2020,92010,,1,,01
1 01.120.01.920.11 2020,4275.0,FUNTZIONARIOA.SOLDATA.OINARRIA.SEGURTASU,20764.0,20764.0,0.0,21610.21,-846.21,21610.21,21610.21,21610.21,21610.21,2020,92011,,1,,01
1 01.120.01.920.20 2020,4276.0,FUNTZIONARIOA.SOLDATA.OINARRIA.INFORMATI,32796.0,32796.0,0.0,33161.68,-365.68,33161.68,33161.68,33161.68,33161.68,2020,92020,,1,,01
1 01.120.01.920.30 2020,4277.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ARTXIBOA,20903.0,20903.0,0.0,20753.42,149.58,20753.42,20753.42,20753.42,20753.42,2020,92030,,1,,01
1 01.120.01.924.00 2020,5880.0,SOLDATA OINARRIA. PARTEHARTZEA,20044.0,20044.0,0.0,12209.07,7834.93,12209.07,12209.07,12209.07,12209.07,2020,92400,,1,,01
1 01.120.01.929.10 2020,4278.0,FUNTZIONARIOA.SOLDATA.OINARRIA.BAKE EPAI,5450.0,5450.0,0.0,5566.71,-116.71,5566.71,5566.71,5566.71,5566.71,2020,92910,,1,,01
1 01.120.01.931.00 2020,4279.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINIST.,129252.0,129252.0,0.0,133425.64,-4173.64,133425.64,133425.64,133425.64,133425.64,2020,93100,,1,,01
1 01.120.01.932.00 2020,4280.0,FUNTZIONARIOA.SOLDATA.OINARRIA.BILKETA,55701.0,55701.0,0.0,60425.67,-4724.67,60425.67,60425.67,60425.67,60425.67,2020,93200,,1,,01
1 01.120.01.933.00 2020,4281.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ONDAREA-K,60456.0,60456.0,0.0,72178.8,-11722.8,72178.8,72178.8,72178.8,72178.8,2020,93300,,1,,01
1 01.121.06.920.10 2020,4282.0,ALDI BATERAKO PROGRAMAK,65000.0,65000.0,0.0,0.0,65000.0,0.0,0.0,0.0,0.0,2020,92010,,1,,01
1 01.121.99.132.00 2020,4283.0,FUNTZIONARIOAK.SOLDATA.OSAGARRIA.UDALTZA,737247.0,737247.0,0.0,831757.06,-94510.06,831757.06,831757.06,831757.06,831757.06,2020,13200,,1,,01
1 01.121.99.151.00 2020,4284.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HIRIGINT,236294.0,236294.0,0.0,229217.63,7076.37,229217.63,229217.63,229217.63,229217.63,2020,15100,,1,,01
1 01.121.99.153.40 2020,4285.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.OBRETAKO,381576.0,381576.0,0.0,387048.7,-5472.7,387048.7,387048.7,387048.7,387048.7,2020,15340,,1,,01
1 01.121.99.161.00 2020,4287.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UR HORNI,99621.0,99621.0,0.0,116622.8,-17001.8,116622.8,116622.8,116622.8,116622.8,2020,16100,,1,,01
1 01.121.99.164.00 2020,4288.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HILERRIA,18229.0,18229.0,0.0,26362.24,-8133.24,26362.24,26362.24,26362.24,26362.24,2020,16400,,1,,01
1 01.121.99.165.00 2020,4289.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KALEKO A,19820.0,19820.0,0.0,24820.69,-5000.69,24820.69,24820.69,24820.69,24820.69,2020,16500,,1,,01
1 01.121.99.172.20 2020,4290.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUME,21982.0,21982.0,0.0,29176.87,-7194.87,29176.87,29176.87,29176.87,29176.87,2020,17220,,1,,01
1 01.121.99.231.00 2020,4293.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BERDINTA,62652.0,62652.0,0.0,79030.25,-16378.25,79030.25,79030.25,79030.25,79030.25,2020,23100,,1,,01
1 01.121.99.231.01 2020,4292.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LANKIDET,1722.0,1722.0,0.0,0.0,1722.0,0.0,0.0,0.0,0.0,2020,23101,,1,,01
1 01.121.99.231.03 2020,4869.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA. GAZTERI,41531.0,41531.0,0.0,49062.2,-7531.2,49062.2,49062.2,49062.2,49062.2,2020,23103,,1,,01
1 01.121.99.241.00 2020,4294.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TOKI GAR,63362.0,63362.0,0.0,70782.14,-7420.14,70782.14,70782.14,70782.14,70782.14,2020,24100,,1,,01
1 01.121.99.323.10 2020,4295.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IKASTETX,66956.0,66956.0,0.0,77319.52,-10363.52,77319.52,77319.52,77319.52,77319.52,2020,32310,,1,,01
1 01.121.99.326.01 2020,4297.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.MUSIKA E,254067.0,254067.0,0.0,298102.24,-44035.24,298102.24,298102.24,298102.24,298102.24,2020,32601,,1,,01
1 01.121.99.330.00 2020,4298.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTURA,54251.0,54251.0,0.0,62986.89,-8735.89,62986.89,62986.89,62986.89,62986.89,2020,33000,,1,,01
1 01.121.99.332.10 2020,4299.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LIBURUTE,93337.0,93337.0,0.0,109133.99,-15796.99,109133.99,109133.99,109133.99,109133.99,2020,33210,,1,,01
1 01.121.99.333.00 2020,4300.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTUR E,38754.0,38754.0,0.0,49578.72,-10824.72,49578.72,49578.72,49578.72,49578.72,2020,33300,,1,,01
1 01.121.99.335.00 2020,4301.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,84411.0,84411.0,0.0,98589.68,-14178.68,98589.68,98589.68,98589.68,98589.68,2020,33500,,1,,01
1 01.121.99.335.10 2020,4302.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKALTE,159128.0,159128.0,0.0,206701.25,-47573.25,206701.25,206701.25,206701.25,206701.25,2020,33510,,1,,01
1 01.121.99.335.30 2020,4303.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.EUSKARA,19560.0,19560.0,0.0,20831.73,-1271.73,20831.73,20831.73,20831.73,20831.73,2020,33530,,1,,01
1 01.121.99.337.00 2020,4304.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UDALEKUA,45346.0,45346.0,0.0,8556.94,36789.06,8556.94,8556.94,8556.94,8556.94,2020,33700,,1,,01
1 01.121.99.342.00 2020,4305.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KIROLDEG,261706.0,261706.0,0.0,333125.93,-71419.93,333125.93,333125.93,333125.93,333125.93,2020,34200,,1,,01
1 01.121.99.342.01 2020,4306.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IGERILEK,10107.0,10107.0,0.0,11293.14,-1186.14,11293.14,11293.14,11293.14,11293.14,2020,34201,,1,,01
1 01.121.99.414.00 2020,4307.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUNE,19820.0,19820.0,0.0,22270.96,-2450.96,22270.96,22270.96,22270.96,22270.96,2020,41400,,1,,01
