Partida,Código ,Descripción,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago,Año,Funcional,Dirección,Capítulo,Sección,Orgánica
1 01.121.99.231.00 2021,4293.0,Retribucion complementaria,100790.0,100790.0,0.0,5442.98,95347.02,5442.98,5442.98,5442.98,5442.98,2021,23100,,1,,01
1 01.121.99.231.01 2021,4292.0,Retribucion complementaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,23101,,1,,01
1 01.121.99.231.03 2021,4869.0,Retribucion complementaria,46930.0,46930.0,0.0,2836.07,44093.93,2836.07,2836.07,2836.07,2836.07,2021,23103,,1,,01
1 01.121.99.241.00 2021,4294.0,Retribucion complementaria,73180.0,73180.0,0.0,5034.54,68145.46,5034.54,5034.54,5034.54,5034.54,2021,24100,,1,,01
1 01.121.99.323.10 2021,4295.0,Retribucion complementaria,60690.0,60690.0,0.0,6288.76,54401.24,6288.76,6288.76,6288.76,6288.76,2021,32310,,1,,01
1 01.121.99.326.01 2021,4297.0,Retribucion complementaria,303600.0,303600.0,0.0,22660.84,280939.16,22660.84,22660.84,22660.84,22660.84,2021,32601,,1,,01
1 01.121.99.330.00 2021,4298.0,Retribucion complementaria,60090.0,60090.0,0.0,4291.77,55798.23,4291.77,4291.77,4291.77,4291.77,2021,33000,,1,,01
1 01.121.99.332.10 2021,4299.0,Retribucion complementaria,101230.0,101230.0,0.0,7638.26,93591.74,7638.26,7638.26,7638.26,7638.26,2021,33210,,1,,01
1 01.121.99.333.00 2021,4300.0,Retribucion complementaria,43440.0,43440.0,0.0,4654.2,38785.8,4654.2,4654.2,4654.2,4654.2,2021,33300,,1,,01
1 01.121.99.335.00 2021,4301.0,Retribucion complementaria,95390.0,95390.0,0.0,6812.45,88577.55,6812.45,6812.45,6812.45,6812.45,2021,33500,,1,,01
1 01.121.99.335.10 2021,4302.0,Retribucion complementaria,181590.0,181590.0,0.0,16589.63,165000.37,16589.63,16589.63,16589.63,16589.63,2021,33510,,1,,01
1 01.121.99.335.30 2021,4303.0,Retribucion complementaria,20860.0,20860.0,0.0,1489.77,19370.23,1489.77,1489.77,1489.77,1489.77,2021,33530,,1,,01
1 01.121.99.337.00 2021,4304.0,Retribucion complementaria,13520.0,13520.0,0.0,0.0,13520.0,0.0,0.0,0.0,0.0,2021,33700,,1,,01
1 01.121.99.342.00 2021,4305.0,Retribucion complementaria,303180.0,303180.0,0.0,20860.84,282319.16,20860.84,20860.84,20860.84,20860.84,2021,34200,,1,,01
1 01.121.99.342.01 2021,4306.0,Retribucion complementaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,34201,,1,,01
1 01.121.99.414.00 2021,4307.0,Retribucion complementaria,22620.0,22620.0,0.0,1615.7,21004.3,1615.7,1615.7,1615.7,1615.7,2021,41400,,1,,01
1 01.121.99.432.00 2021,4308.0,Retribucion complementaria,24580.0,24580.0,0.0,1755.59,22824.41,1755.59,1755.59,1755.59,1755.59,2021,43200,,1,,01
1 01.121.99.920.00 2021,4310.0,Retribucion complementaria,265020.0,265020.0,0.0,25314.03,239705.97,25314.03,25314.03,25314.03,25314.03,2021,92000,,1,,01
1 01.121.99.920.10 2021,4311.0,Retribucion complementaria,101110.0,101110.0,0.0,5659.72,95450.28,5659.72,5659.72,5659.72,5659.72,2021,92010,,1,,01
1 01.121.99.920.11 2021,4312.0,Retribucion complementaria,29040.0,29040.0,0.0,2074.57,26965.43,2074.57,2074.57,2074.57,2074.57,2021,92011,,1,,01
1 01.121.99.920.20 2021,4313.0,Retribucion complementaria,48920.0,48920.0,0.0,3530.47,45389.53,3530.47,3530.47,3530.47,3530.47,2021,92020,,1,,01
1 01.121.99.920.30 2021,4314.0,Retribucion complementaria,27040.0,27040.0,0.0,1931.78,25108.22,1931.78,1931.78,1931.78,1931.78,2021,92030,,1,,01
1 01.121.99.924.00 2021,5881.0,Sueldo complementos. PARTEHARTZEA,24580.0,24580.0,0.0,1755.59,22824.41,1755.59,1755.59,1755.59,1755.59,2021,92400,,1,,01
1 01.121.99.929.10 2021,4315.0,Retribucion complementaria,7790.0,7790.0,0.0,530.32,7259.68,530.32,530.32,530.32,530.32,2021,92910,,1,,01
1 01.121.99.931.00 2021,4316.0,Retribucion complementaria,95510.0,95510.0,0.0,15746.27,79763.73,15746.27,15746.27,15746.27,15746.27,2021,93100,,1,,01
1 01.121.99.932.00 2021,4317.0,Retribucion complementaria,205590.0,205590.0,0.0,3689.73,201900.27,3689.73,3689.73,3689.73,3689.73,2021,93200,,1,,01
1 01.121.99.933.00 2021,4318.0,Retribucion complementaria,86430.0,86430.0,0.0,9038.87,77391.13,9038.87,9038.87,9038.87,9038.87,2021,93300,,1,,01
1 01.131.01.241.00 2021,6621.0,Personal temporal,0.0,0.0,0.0,2543.18,-2543.18,2543.18,2543.18,2543.18,2543.18,2021,24100,,1,,01
1 01.131.01.241.01 2021,4321.0,Personal temporal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,24101,,1,,01
1 01.131.01.241.02 2021,4322.0,Personal temporal,235000.0,235000.0,0.0,34087.52,200912.48,34087.52,34087.52,34087.52,34087.52,2021,24102,,1,,01
1 01.131.01.324.10 2021,4325.0,Personal temporal,106640.0,106640.0,0.0,10179.34,96460.66,10179.34,10179.34,10179.34,10179.34,2021,32410,,1,,01
1 01.131.01.333.00 2021,4326.0,Personal temporal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,33300,,1,,01
1 01.160.01.132.00 2021,4329.0,Ssocial,401120.0,401120.0,0.0,32529.84,368590.16,32529.84,32529.84,32529.84,32529.84,2021,13200,,1,,01
1 01.160.01.151.00 2021,4330.0,Ssocial,126450.0,126450.0,0.0,8257.85,118192.15,8257.85,8257.85,8257.85,8257.85,2021,15100,,1,,01
1 01.160.01.153.40 2021,4331.0,Ssocial,206380.0,206380.0,0.0,15589.58,190790.42,15589.58,15589.58,15589.58,15589.58,2021,15340,,1,,01
1 01.160.01.161.00 2021,4333.0,Ssocial,60930.0,60930.0,0.0,4230.43,56699.57,4230.43,4230.43,4230.43,4230.43,2021,16100,,1,,01
1 01.160.01.164.00 2021,4334.0,Ssocial,12190.0,12190.0,0.0,-1146.08,13336.08,-1146.08,-1146.08,-1146.08,-1146.08,2021,16400,,1,,01
1 01.160.01.165.00 2021,4335.0,Ssocial,12190.0,12190.0,0.0,1080.79,11109.21,1080.79,1080.79,1080.79,1080.79,2021,16500,,1,,01
1 01.160.01.172.20 2021,4336.0,Ssocial,14600.0,14600.0,0.0,1052.13,13547.87,1052.13,1052.13,1052.13,1052.13,2021,17220,,1,,01
1 01.160.01.231.00 2021,4339.0,Ssocial,47820.0,47820.0,0.0,2966.26,44853.74,2966.26,2966.26,2966.26,2966.26,2021,23100,,1,,01
1 01.160.01.231.01 2021,4338.0,Ssocial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,23101,,1,,01
1 01.160.01.231.03 2021,4870.0,Ssocial,22760.0,22760.0,0.0,1602.43,21157.57,1602.43,1602.43,1602.43,1602.43,2021,23103,,1,,01
1 01.160.01.241.00 2021,4340.0,Ssocial,37590.0,37590.0,0.0,3892.38,33697.62,3892.38,3892.38,3892.38,3892.38,2021,24100,,1,,01
1 01.160.01.241.01 2021,4341.0,Ssocial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,24101,,1,,01
1 01.160.01.241.02 2021,4342.0,Ssocial,65290.0,65290.0,0.0,13501.51,51788.49,13501.51,13501.51,13501.51,13501.51,2021,24102,,1,,01
1 01.160.01.323.10 2021,4344.0,Ssocial,36560.0,36560.0,0.0,172.36,36387.64,172.36,172.36,172.36,172.36,2021,32310,,1,,01
1 01.160.01.324.10 2021,4346.0,Ssocial,29640.0,29640.0,0.0,3889.34,25750.66,3889.34,3889.34,3889.34,3889.34,2021,32410,,1,,01
1 01.160.01.326.01 2021,4347.0,Ssocial,164770.0,164770.0,0.0,11745.73,153024.27,11745.73,11745.73,11745.73,11745.73,2021,32601,,1,,01
1 01.160.01.330.00 2021,4348.0,Ssocial,22760.0,22760.0,0.0,2086.2,20673.8,2086.2,2086.2,2086.2,2086.2,2021,33000,,1,,01
1 01.160.01.332.10 2021,4349.0,Ssocial,53460.0,53460.0,0.0,4315.59,49144.41,4315.59,4315.59,4315.59,4315.59,2021,33210,,1,,01
1 01.160.01.333.00 2021,4350.0,Ssocial,24370.0,24370.0,0.0,2376.97,21993.03,2376.97,2376.97,2376.97,2376.97,2021,33300,,1,,01
1 01.160.01.335.00 2021,4351.0,Ssocial,45520.0,45520.0,0.0,3777.4,41742.6,3777.4,3777.4,3777.4,3777.4,2021,33500,,1,,01
1 01.160.01.335.10 2021,4352.0,Ssocial,97940.0,97940.0,0.0,4359.7,93580.3,4359.7,4359.7,4359.7,4359.7,2021,33510,,1,,01
1 01.160.01.335.30 2021,4353.0,Ssocial,12530.0,12530.0,0.0,917.37,11612.63,917.37,917.37,917.37,917.37,2021,33530,,1,,01
1 01.160.01.337.00 2021,4354.0,Ssocial,18620.0,18620.0,0.0,0.0,18620.0,0.0,0.0,0.0,0.0,2021,33700,,1,,01
1 01.160.01.342.00 2021,4355.0,Ssocial,133490.0,133490.0,0.0,10637.01,122852.99,10637.01,10637.01,10637.01,10637.01,2021,34200,,1,,01
1 01.160.01.342.01 2021,4356.0,Ssocial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,34201,,1,,01
1 01.160.01.414.00 2021,4357.0,Ssocial,12190.0,12190.0,0.0,828.3,11361.7,828.3,828.3,828.3,828.3,2021,41400,,1,,01
1 01.160.01.432.00 2021,4358.0,Ssocial,12530.0,12530.0,0.0,976.31,11553.69,976.31,976.31,976.31,976.31,2021,43200,,1,,01
1 01.160.01.912.00 2021,4359.0,Ssocial,86420.0,86420.0,0.0,9177.06,77242.94,9177.06,9177.06,9177.06,9177.06,2021,91200,,1,,01
1 01.160.01.920.00 2021,4360.0,Ssocial,124150.0,124150.0,0.0,11837.84,112312.16,11837.84,11837.84,11837.84,11837.84,2021,92000,,1,,01
1 01.160.01.920.10 2021,4361.0,Ssocial,45290.0,45290.0,0.0,2982.4,42307.6,2982.4,2982.4,2982.4,2982.4,2021,92010,,1,,01
1 01.160.01.920.11 2021,4362.0,Ssocial,12530.0,12530.0,0.0,1052.13,11477.87,1052.13,1052.13,1052.13,1052.13,2021,92011,,1,,01
1 01.160.01.920.20 2021,4363.0,Ssocial,22760.0,22760.0,0.0,1938.03,20821.97,1938.03,1938.03,1938.03,1938.03,2021,92020,,1,,01
1 01.160.01.920.30 2021,4364.0,Ssocial,14600.0,14600.0,0.0,1046.02,13553.98,1046.02,1046.02,1046.02,1046.02,2021,92030,,1,,01
1 01.160.01.924.00 2021,5882.0,Seguridad Social. Partehartzea,12530.0,12530.0,0.0,949.72,11580.28,949.72,949.72,949.72,949.72,2021,92400,,1,,01
1 01.160.01.929.10 2021,4365.0,Ssocial,4870.0,4870.0,0.0,311.75,4558.25,311.75,311.75,311.75,311.75,2021,92910,,1,,01
1 01.160.01.931.00 2021,4366.0,Ssocial,39430.0,39430.0,0.0,7872.81,31557.19,7872.81,7872.81,7872.81,7872.81,2021,93100,,1,,01
1 01.160.01.932.00 2021,4367.0,Ssocial,94230.0,94230.0,0.0,1930.12,92299.88,1930.12,1930.12,1930.12,1930.12,2021,93200,,1,,01
1 01.160.01.933.00 2021,4368.0,Ssocial,39430.0,39430.0,0.0,1260.02,38169.98,1260.02,1260.02,1260.02,1260.02,2021,93300,,1,,01
1 01.160.04.132.00 2021,4369.0,Elkarkidetza,21250.0,21250.0,0.0,952.83,20297.17,952.83,952.83,952.83,952.83,2021,13200,,1,,01
1 01.160.04.151.00 2021,4370.0,Elkarkidetza,8360.0,8360.0,0.0,188.46,8171.54,188.46,188.46,188.46,188.46,2021,15100,,1,,01
1 01.160.04.153.40 2021,4371.0,Elkarkidetza,10560.0,10560.0,0.0,652.85,9907.15,652.85,652.85,652.85,652.85,2021,15340,,1,,01
1 01.160.04.161.00 2021,4373.0,Elkarkidetza,2860.0,2860.0,0.0,339.75,2520.25,339.75,339.75,339.75,339.75,2021,16100,,1,,01
1 01.160.04.164.00 2021,4374.0,Elkarkidetza,550.0,550.0,0.0,70.99,479.01,70.99,70.99,70.99,70.99,2021,16400,,1,,01
1 01.160.04.165.00 2021,6373.0,Ssocial,550.0,550.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,2021,16500,,1,,01
1 01.160.04.172.20 2021,4376.0,Elkarkidetza,990.0,990.0,0.0,126.78,863.22,126.78,126.78,126.78,126.78,2021,17220,,1,,01
1 01.160.04.231.00 2021,4378.0,Elkarkidetza,2970.0,2970.0,0.0,291.99,2678.01,291.99,291.99,291.99,291.99,2021,23100,,1,,01
1 01.160.04.231.01 2021,6374.0,Ssocial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,23101,,1,,01
