Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr.,Onart. Oblig.
1 02.481.02.334.10 2016 (5497),5497,DIRULAG:AUZO ELKARTEAK,2016,0.0,4332.05
1 02.481.02.335.00 2016 (5498),5498,DIRULAG.:EUSKARA (ZUZENAK),2016,0.0,1164.0
1 02.481.05.924.00 2016 (5501),5501,DIRULAG.AUZOLAN PROGRAMAK,2016,0.0,5345.84
1 02.601.01.151.20 2016 (5453),5453,GALARRETA SISTEMA OROKORRA,2016,0.0,36530.0
1 02.601.01.172.20 2016 (5429),5429,LARREGAIN ZABORTEGIA-BIRGAITZEA,2016,0.0,0.0
1 02.601.02.151.10 2016 (5410),5410,LANDARE POLIGONO BIDEA,2016,0.0,326.7
1 02.601.03.151.10 2016 (5411),5411,KARABEL-IBAIONDO OINEZKOEN BIDEA,2016,0.0,83554.75
1 02.622.01.342.00 2016 (5500),5500,KIROLDEGIA-IGERILEKUAK-FASE II,2016,0.0,2257788.75
1 02.622.02.151.10 2016 (5414),5414,KARABEL ETXEBIZITZAK,2016,0.0,21212.51
1 02.624.01.153.40 2016 (5499),5499,IBILGAILUA-HERRI LANAK,2016,0.0,101.81
1 02.625.99.326.01 2016 (5505),5505,MUSIKA TRESNAK,2016,0.0,2086.37
1 02.625.99.342.00 2016 (5506),5506,KIROL MAKINAK: KIROLDEGIA,2016,0.0,14068.28
1 02.626.01.920.20 2016 (5507),5507,INFORMAZIO-PROZESUETARAKO EKIPOAK,2016,0.0,0.0
1 02.643.01.151.10 2016 (5417),5417,PROIEKTU TEKNIKOAK.HIRIGINTZA,2016,0.0,65339.4
1 02.644.01.920.20 2016 (5511),5511,APLIKAZIO INFORMATIKOAK,2016,0.0,0.0
1 05.210.01.153.20 2016 (5513),5513,KALEAK.BIDEAK.MANTENUA.,2016,0.0,15173.4
1 05.210.01.153.70 2016 (5514),5514,LANDA BIDEA. MANTENUA,2016,0.0,3140.25
1 05.210.01.161.00 2016 (5515),5515,UR SAREA.MANTENUA,2016,0.0,0.0
1 05.210.01.165.00 2016 (5519),5519,KALEKO ARGIKUNTZA SAREA.MANTENUA,2016,0.0,0.0
1 05.210.01.171.00 2016 (5520),5520,BESTE LANAK:PARKEAK ETA LORATEGIAK,2016,0.0,7529.04
1 05.210.01.414.00 2016 (5454),5454,INGURUNEAREN HOBEKUNTZA.MANTENUA,2016,0.0,1058.75
1 05.211.01.920.02 2016 (5443),5443,MANTENU OROKORRA.UDALETXEA,2016,0.0,0.0
1 05.226.99.162.10 2016 (5522),5522,MATERIALA.HONDAKINEN KUDEAKETA,2016,0.0,0.0
