Partida,Barruko ,Deskribapena,B. betiko aurrek.,Has.ko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 01.120.01.920.00 2019,4273.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINISTR,176323.0,176323.0,0.0,138047.82,38275.18,138047.82,138047.82,138047.82,138047.82,2019,92000,,1,,01
1 01.120.01.920.10 2019,4274.0,FUNTZIONARIOA.SOLDATA.OINARRIA.PERTSONAL,49794.0,49794.0,0.0,51215.98,-1421.98,51215.98,51215.98,51215.98,51215.98,2019,92010,,1,,01
1 01.120.01.920.11 2019,4275.0,FUNTZIONARIOA.SOLDATA.OINARRIA.SEGURTASU,20257.0,20257.0,0.0,20608.69,-351.69,20608.69,20608.69,20608.69,20608.69,2019,92011,,1,,01
1 01.120.01.920.20 2019,4276.0,FUNTZIONARIOA.SOLDATA.OINARRIA.INFORMATI,31357.0,31357.0,0.0,33908.26,-2551.26,33908.26,33908.26,33908.26,33908.26,2019,92020,,1,,01
1 01.120.01.920.30 2019,4277.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ARTXIBOA,19538.0,19538.0,0.0,20878.18,-1340.18,20878.18,20878.18,20878.18,20878.18,2019,92030,,1,,01
1 01.120.01.924.00 2019,5880.0,SOLDATA OINARRIA. PARTEHARTZEA,18852.0,18852.0,0.0,20019.37,-1167.37,20019.37,20019.37,20019.37,20019.37,2019,92400,,1,,01
1 01.120.01.929.10 2019,4278.0,FUNTZIONARIOA.SOLDATA.OINARRIA.BAKE EPAI,3501.0,3501.0,0.0,5458.07,-1957.07,5458.07,5458.07,5458.07,5458.07,2019,92910,,1,,01
1 01.120.01.931.00 2019,4279.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ADMINIST.,119470.0,119470.0,0.0,115543.27,3926.73,115543.27,115543.27,115543.27,115543.27,2019,93100,,1,,01
1 01.120.01.932.00 2019,4280.0,FUNTZIONARIOA.SOLDATA.OINARRIA.BILKETA,70544.0,70544.0,0.0,73324.51,-2780.51,73324.51,73324.51,73324.51,73324.51,2019,93200,,1,,01
1 01.120.01.933.00 2019,4281.0,FUNTZIONARIOA.SOLDATA.OINARRIA.ONDAREA-K,45969.0,45969.0,0.0,48805.97,-2836.97,48805.97,48805.97,48805.97,48805.97,2019,93300,,1,,01
1 01.121.06.920.10 2019,4282.0,LANGILEEN ORDEZKAPENETARAKO POLTSA,48623.0,48623.0,0.0,0.0,48623.0,0.0,0.0,0.0,0.0,2019,92010,,1,,01
1 01.121.99.132.00 2019,4283.0,FUNTZIONARIOAK.SOLDATA.OSAGARRIA.UDALTZA,739423.0,739423.0,0.0,801747.88,-62324.88,801747.88,801747.88,801747.88,801747.88,2019,13200,,1,,01
1 01.121.99.151.00 2019,4284.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HIRIGINT,228394.0,228394.0,0.0,224127.18,4266.82,224127.18,224127.18,224127.18,224127.18,2019,15100,,1,,01
1 01.121.99.153.40 2019,4285.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.OBRETAKO,367030.0,367030.0,0.0,312812.01,54217.99,312812.01,312812.01,312812.01,312812.01,2019,15340,,1,,01
1 01.121.99.161.00 2019,4287.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.UR HORNI,95096.0,95096.0,0.0,118851.93,-23755.93,118851.93,118851.93,118851.93,118851.93,2019,16100,,1,,01
1 01.121.99.164.00 2019,4288.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.HILERRIA,17702.0,17702.0,0.0,19005.29,-1303.29,19005.29,19005.29,19005.29,19005.29,2019,16400,,1,,01
1 01.121.99.165.00 2019,4289.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KALEKO A,19294.0,19294.0,0.0,24301.48,-5007.48,24301.48,24301.48,24301.48,24301.48,2019,16500,,1,,01
1 01.121.99.172.20 2019,4290.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.INGURUME,21568.0,21568.0,0.0,22011.26,-443.26,22011.26,22011.26,22011.26,22011.26,2019,17220,,1,,01
1 01.121.99.231.00 2019,4293.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.BERDINTA,61265.0,61265.0,0.0,63679.54,-2414.54,63679.54,63679.54,63679.54,63679.54,2019,23100,,1,,01
1 01.121.99.231.01 2019,4292.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LANKIDET,2159.0,2159.0,0.0,511.72,1647.28,511.72,511.72,511.72,511.72,2019,23101,,1,,01
1 01.121.99.231.03 2019,4869.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA. GAZTERI,40591.0,40591.0,0.0,52460.44,-11869.44,52460.44,52460.44,52460.44,52460.44,2019,23103,,1,,01
1 01.121.99.241.00 2019,4294.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.TOKI GAR,51312.0,51312.0,0.0,59795.07,-8483.07,59795.07,59795.07,59795.07,59795.07,2019,24100,,1,,01
1 01.121.99.323.10 2019,4295.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.IKASTETX,81192.0,81192.0,0.0,78090.34,3101.66,78090.34,78090.34,78090.34,78090.34,2019,32310,,1,,01
1 01.121.99.326.01 2019,4297.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.MUSIKA E,255224.0,255224.0,0.0,264825.02,-9601.02,264825.02,264825.02,264825.02,264825.02,2019,32601,,1,,01
1 01.121.99.330.00 2019,4298.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.KULTURA,53081.0,53081.0,0.0,54397.42,-1316.42,54397.42,54397.42,54397.42,54397.42,2019,33000,,1,,01
1 01.121.99.332.10 2019,4299.0,FUNTZIONARIOA.SOLDATA.OSAGARRIA.LIBURUTE,93279.0,93279.0,0.0,131349.65,-38070.65,131349.65,131349.65,131349.65,131349.65,2019,33210,,1,,01
