Partida,Barruko kodea,Deskribapena,Urtea,Hasierako aurr,Onar esk garbiak
2 399.05 2015 (103),103,HAUR ESKOLAKO JANGELA(IRAKASLEAK),2015,3000.0,3353.3
2 399.06 2015 (45),45,ARTXIBOKO ARGITALPENAK,2015,400.0,323.96
2 399.07 2015 (46),46,PARTIKULARREN KONTURAKO OBRAK,2015,100.0,0.0
2 399.12 2015 (667),667,BIRZIKLATZEAREN ONDORIOZKO SARRERAK,2015,287000.0,380244.61
2 400.01 2015 (47),47,ITUNDU GABEKO ZERGAK,2015,20500.0,19855.77
2 410.01 2015 (48),48,E.J.ren DIRUL:BAKE EPAITEGIA,2015,3600.0,3625.0
2 410.02 2015 (49),49,E.J.ren DIRUL:MUSIKA ESKOLA,2015,125000.0,117077.51
2 410.03 2015 (50),50,E.J.ren DIRUL:LIBURUTEGIA,2015,10860.0,3769.0
2 410.04 2015 (53),53,E.J.ren DIRUL:D.B.H.ko IKASTETXEAK,2015,1000.0,30699.97
2 410.09 2015 (724),724,E.J.: IVAPEN DIRULAG: FORMAKUNTZA,2015,0.0,6808.75
2 410.41 2015 (830),830,E.J.ren DIRUL: AGENDA 21 ESKOLARRA,2015,0.0,2695.32
2 410.48 2015 (698),698,E.J.ren DIRUL:E.B.P.N.,2015,7000.0,0.0
2 410.49 2015 (699),699,E.J.-HASIERAKO LANBIDE PRESTAKUNTZA,2015,146130.0,145474.69
2 410.54 2015 (847),847,E.J.ren DIRUL:KIROLAK.,2015,0.0,4345.71
2 410.55 2015 (848),848,E.J.ren DIRUL: BIZIKIDETZA PROGRAMAK.,2015,0.0,4680.1
2 410.56 2015 (886),886,E.J.ren DIRUL: INGURUGIROA.,2015,0.0,93991.07
2 410.57 2015 (887),887,EJ-DIRUL-BERDINTASUNA,2015,0.0,5207.43
2 411.01 2015 (54),54,HABEren DIRUL:EUSKALTEGIA,2015,200000.0,167104.41
2 411.08 2015 (777),777,LANBIDE:enplegua sustatzeko progr,2015,100.0,167518.12
2 411.09 2015 (805),805,LANBIDE:ikastaroak,2015,87600.0,72651.74
2 412.01 2015 (842),842,EVE DIRULAGUNTZA,2015,0.0,1935.0
2 420.01 2015 (55),55,ITUNDUTAKO TRIBUETAKO PARTAIDETZA,2015,11301803.0,11554704.25
2 420.02 2015 (57),57,FORU ALDUND.DIRUL:EUSKARA,2015,14000.0,14239.91
2 420.03 2015 (58),58,FORU ALDUND.DIRUL:KULTURA,2015,10000.0,12039.0
2 420.04 2015 (653),653,FORU ALDUND.DIRUL:KIROLAK,2015,15000.0,18202.76
2 420.05 2015 (768),768,FORU ALDUNDIA:ARTXIBOA,2015,0.0,2642.02
2 420.07 2015 (774),774,ALDUNDIA.DIRULAG:INGURUGIROA.,2015,0.0,59739.37
2 420.08 2015 (721),721,FORU.ALDUN.DIRUL:T.AGENDA21,2015,10000.0,7276.91
2 420.10 2015 (770),770,FORU ALDUND.DIRUL: BERDINTASUNA,2015,0.0,14372.0
2 420.11 2015 (772),772,FORU ALDUND.DIRUL:PARTE-HARTZEA,2015,0.0,15300.0
2 420.13 2015 (773),773,FORU ALDUND.DIRUL: ENPLEGU SUSTAPENA,2015,45000.0,0.0
2 420.14 2015 (836),836,FORU ALDUND.DIRUL: INMIGRAZIOA,2015,0.0,13400.64
2 420.15 2015 (775),775,ALDUND.DIRUL:INFORMATIKA,2015,0.0,42084.47
2 420.16 2015 (844),844,FORU ALDUND.DIRUL:TOKIKO GARAPENA,2015,0.0,228623.45
2 420.17 2015 (888),888,ALDUND.DIRUL: BIZIKIDETZA,2015,0.0,9151.52
2 420.18 2015 (889),889,ALDUND.DIRUL: HAUR-GAZTERIA,2015,0.0,16254.0
2 422.01 2015 (885),885,BURUNTZALDEA - UDALAK,2015,0.0,10000.0
2 422.02 2015 (843),843,UDALAK - TOKIKO GARAPENA,2015,0.0,42666.57
2 481.01 2015 (649),649,KIROL FEDERAZIOEN DIRULAGUNTZA,2015,2000.0,4105.78
2 540.02 2015 (806),806,ALOKABIDE:etxebizitzen alokairua,2015,31000.0,17737.06
2 550.01 2015 (64),64,ATSEGINDEGIKO GARAJEEN KANONA,2015,7500.0,7356.43
2 550.02 2015 (764),764,BARATZA PARKEA.KANONA,2015,3700.0,4177.1
2 551.01 2015 (705),705,BASO APROBETXAMENDUAK,2015,100.0,0.0
2 553.01 2015 (650),650,KIROLDEGIKO TABERNAREN USTIAKETA,2015,3300.0,3283.6
2 553.02 2015 (719),719,IGERILEKUKO TABERNAREN USTIAKETA,2015,900.0,1350.0
2 560.01 2015 (61),61,GORDAILUEN INTERESEAK,2015,20000.0,21427.92
2 590.01 2015 (780),780,BESTELAKO ONDARE SARRERAK.,2015,100.0,56.26
2 651.01 2015 (357),357,HIRIGINTZAKO APROBETXAMENDUAK,2015,525500.0,0.0
2 652.01 2015 (490),490,HIRIGINTZAKO BESTE DIRU SARRERAK,2015,20000.0,3810.0
2 710.01 2015 (474),474,E.J.-BIBLIOGRAFI FONDOAK,2015,7061.0,0.0
2 710.02 2015 (891),891,KULTURA..AZPIEGITURAK,2015,0.0,6143.56
2 710.03 2015 (808),808,EJ:inbertsiotarako dirulaguntza,2015,0.0,66322.12
2 712.01 2015 (751),751,EVEren DIRUL:ARGIAK ALDATZEKO,2015,100.0,6542.0
2 720.99 2015 (810),810,ALDUNDIA:INBERTSIOTARAKO LAGUNTZAK,2015,675000.0,689045.39
2 822.01 2015 (890),890,MAILEGU ITZULKETA,2015,0.0,85000.0
2 823.01 2015 (65),65,PERSONAL AURRERAKINAK,2015,100.0,4800.0
2 933.01 2015 (476),476,FINANTZA ENTITATEEN MAILEGUAK,2015,450000.0,440000.0
