Partida,Código ,Descripción,Ppto. Inicial,Ppto. Definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Obligación,ME,Pago,Año,Funcional,Dirección,Capítulo,Sección,Orgánica
1 01.160.01.933.00 2019,4368.0,Ssocial,33436.0,33436.0,0.0,36838.66,-3402.66,36838.66,36838.66,36838.66,36838.66,2019,93300,,1,,01
1 01.160.04.132.00 2019,4369.0,FONDO PENSIONES ELKARKIDETZA: GUARDIA MU,15021.0,15021.0,0.0,16436.22,-1415.22,16436.22,16436.22,16436.22,16436.22,2019,13200,,1,,01
1 01.160.04.151.00 2019,4370.0,FONDO PENSIONES ELKARKIDETZA: URBANISMO,4320.0,4320.0,0.0,2743.36,1576.64,2743.36,2743.36,2743.36,2743.36,2019,15100,,1,,01
1 01.160.04.153.40 2019,4371.0,FONDO PENSIONES ELKARKIDETZA: OBRAS Y SE,13986.0,13986.0,0.0,9826.14,4159.86,9826.14,9826.14,9826.14,9826.14,2019,15340,,1,,01
1 01.160.04.161.00 2019,4373.0,FONDO PENSIONES ELKARKIDETZA: SUMIN AGUA,3892.0,3892.0,0.0,4905.08,-1013.08,4905.08,4905.08,4905.08,4905.08,2019,16100,,1,,01
1 01.160.04.164.00 2019,4374.0,FONDO PENSIONES ELKARKIDETZA: CEMENTERIO,973.0,973.0,0.0,986.02,-13.02,986.02,986.02,986.02,986.02,2019,16400,,1,,01
1 01.160.04.172.20 2019,4376.0,FONDO PENSIONES ELKARKIDETZA: MEDIO AMBI,1738.0,1738.0,0.0,1760.92,-22.92,1760.92,1760.92,1760.92,1760.92,2019,17220,,1,,01
1 01.160.04.231.00 2019,4378.0,FONDO PENSIONES ELKARKIDETZA: IGUALDAD,4002.0,4002.0,0.0,4055.52,-53.52,4055.52,4055.52,4055.52,4055.52,2019,23100,,1,,01
1 01.160.04.231.03 2019,5610.0,Elkarkidetza,1418.0,1418.0,0.0,0.0,1418.0,0.0,0.0,0.0,0.0,2019,23103,,1,,01
1 01.160.04.241.00 2019,4379.0,FONDO PENSIONES ELKARKIDETZA: DESARR LOC,1418.0,1418.0,0.0,1943.5,-525.5,1943.5,1943.5,1943.5,1943.5,2019,24100,,1,,01
1 01.160.04.323.10 2019,4380.0,FONDO PENSIONES ELKARKIDETZA: CENTROS ES,3892.0,3892.0,0.0,3239.78,652.22,3239.78,3239.78,3239.78,3239.78,2019,32310,,1,,01
1 01.160.04.326.01 2019,4382.0,FONDO PENSIONES ELKARKIDETZA: ESCUELA MU,10661.0,10661.0,0.0,9238.04,1422.96,9238.04,9238.04,9238.04,9238.04,2019,32601,,1,,01
1 01.160.04.330.00 2019,6063.0,Elkarkidetza: SERVICIO KULTURA,0.0,0.0,0.0,1129.81,-1129.81,1129.81,1129.81,1129.81,1129.81,2019,33000,,1,,01
1 01.160.04.332.10 2019,4384.0,FONDO PENSIONES ELKARKIDETZA: BIBLIOTECA,6329.0,6329.0,0.0,6414.8,-85.8,6414.8,6414.8,6414.8,6414.8,2019,33210,,1,,01
1 01.160.04.333.00 2019,4385.0,FONDO PENSIONES ELKARKIDETZA: CASA CULTU,973.0,973.0,0.0,986.02,-13.02,986.02,986.02,986.02,986.02,2019,33300,,1,,01
