Partida,Código interno,Descripción,Año,Ppto. Inicial (duplicado de Definitivo),Ppto. Definitivo,Derechos reconocidos Netos,Recaudación Líquida,Pendiente de Cobro,Devoluciones
2 551.01.414.00 2020,961.0,Aprovechamiento forestal,,100.0,100.0,0.0,0.0,0.0,0.0
2 553.01.342.00 2020,962.0,Canon: Bar-Kiroldegia,,3300.0,3300.0,663.05,0.0,663.05,0.0
2 553.02.342.01 2020,963.0,Canon: Bar-Piscinas exteriores,,1800.0,1800.0,0.0,0.0,0.0,0.0
2 560.01.000.00 2020,61.0,Intereses depositos,,6000.0,6000.0,4088.67,4088.67,0.0,0.0
2 590.01.000.00 2020,780.0,Otros ingresos patrimonio,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 650.01.151.20 2020,1171.0,Galarreta-Sistema General cuotas urb.,,0.0,0.0,7035.22,7035.22,0.0,0.0
2 651.01.000.00 2020,357.0,Aprovechamientos urbanisticos,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 652.01.000.00 2020,490.0,Otros ingresos-urbanismo,,1000.0,1000.0,189343.71,143343.71,46000.0,10698.5
2 710.01.332.10 2020,964.0,Subv.Fondos bibliograficos,,7500.0,7500.0,0.0,0.0,0.0,0.0
2 710.02.323.10 2020,1069.0,E.J.DIRUL.IKASTETXEAK-INBERTSIOAK,,1000.0,1000.0,0.0,0.0,0.0,0.0
2 710.03.151.10 2020,1165.0,SUBVENCIONES GOBIERNO VASCO - URBANISMO,,0.0,0.0,86140.41,0.0,86140.41,0.0
2 823.01.000.00 2020,65.0,Anticipos personal,,10000.0,10000.0,2000.0,2000.0,0.0,0.0
2 870.01.000.00 2020,1161.0,REMANENTE TESORERÍA GASTOS GENERALES,,10171412.23,10171412.23,0.0,0.0,0.0,0.0
2 870.02.000.00 2020,1162.0,REMANENTE TESORERÍA GASTOS AFECTADOS,,772174.68,772174.68,0.0,0.0,0.0,0.0
2 933.01.000.00 2020,476.0,Prestamos largo plazo,,0.0,0.0,0.0,0.0,0.0,0.0
